题号,题型,题干,选项A,选项B,选项C,选项D,我的答案,正确答案,得分,知识点,解析
1,一. 单选题（共 90 题，90.0 分）,下列哪项不是人工智能发展历程中的关键事件？ ( ),A. 图灵测试的提出,B. “深蓝”计算机在国际象棋中击败人类冠军,C. Watson在Jeopardy 游戏中获胜,D. 个人计算机的普及,D,D,1.0,第1章,
2,一. 单选题（共 90 题，90.0 分）,连接主义学派认为智能主要来源于 ( ) 。,A. 符号和规则,B. 神经元之间的连接和权重调整,C. 自然选择和遗传算法,D. 逻辑和演绎推理,C,B,0.0,第1章,
3,一. 单选题（共 90 题，90.0 分）,人工智能伦理主要关注的问题是 ( )。,A. 技术效率和性能,B. 数据隐私和安全,C. 机器人的外观设计,D. 软件版本更新速度,C,B,0.0,第1章,
4,一. 单选题（共 90 题，90.0 分）,人工智能在金融领域的应用不包括 ( )。,A. 风险评估,B. 欺诈检测,C. 投资建议,D. 现金管理,C,D,0.0,第1章,
5,一. 单选题（共 90 题，90.0 分）,下列哪项不是人工智能的基本特征？ ( ),A. 自主性,B. 学习性,C. 确定性,D. 适应性,D,C,0.0,第1章,
6,一. 单选题（共 90 题，90.0 分）,被誉为“人工智能之父”的是 ( )。,A. 艾伦·图灵,B. 约翰·冯·诺依曼,C. 查尔斯·巴贝奇,D. 比尔·盖茨,A,A,1.0,第1章,
7,一. 单选题（共 90 题，90.0 分）,在安装Python时，默认会包含 ( ) 集成开发环境（IDE）。,A. PyCharm,B. Visual Studio Code,C. IDLE,D. Jupyter Notebook,C,C,1.0,Python编程环境安装配置,
8,一. 单选题（共 90 题，90.0 分）,使用pip安装第三方库numpy的正确命令是？ （ ）,A. pip install numpy,B. pip numpy install,C. install numpy pip,D. numpy install pip,C,A,0.0,Python编程环境安装配置,pip安装第三方库的语法为“pip install 库名”，因此安装numpy的正确命令是pip install numpy。
9,一. 单选题（共 90 题，90.0 分）,解释型语言和编译型语言的主要区别在于 ( ) 。,A. 解释型语言不需要编译器,B. 编译型语言运行速度更快,C. 解释型语言逐行执行代码,D. 编译型语言不能跨平台运行,C,C,1.0,Python编程环境安装配置,
10,一. 单选题（共 90 题，90.0 分）,下列哪项用于获取字符串的长度？( ),A. str.length(),B. len(str),C. str.size(),D. 以上都不是,C,B,0.0,Python基本数据类型,
11,一. 单选题（共 90 题，90.0 分）,"range(1, 5) 可以得到数列（ ）。",A. 5,B. 1，2，3，4，5,C. 0，1，2，3，4，5,D. 1，2，3，4,C,D,0.0,Python函数,
12,一. 单选题（共 90 题，90.0 分）,以下不是Python语言合法命名的标识符是（ ）。,A. MyGod5,B. MyGod,C. _MyGod_,D. 5MyGod,C,D,0.0,Python的基本语法,
